K,Inertia,Silhouette Score,Smallest Cluster,Largest Cluster,Smallest Cluster Percentage,Selected
2,1522509.4541485636,0.06540856226460515,23874,26126,47.748000000000005,False
3,1465267.7250621791,0.07494166951697188,3487,24241,6.973999999999999,False
4,1425186.0712345904,0.07623994043535655,3487,20326,6.973999999999999,True
5,1395368.1207874105,0.07300540011183086,3487,17943,6.973999999999999,False
6,1355485.8182770475,0.08722759067451456,500,19129,1.0,False
