Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,True Negatives,False Positives,False Negatives,True Positives
Decision Tree,0.983593557255137,0.07606490872210954,0.7894736842105263,0.13876040703052728,0.9024668120319332,0.7224436767928729,55740,911,20,75
Logistic Regression,0.9751524336517111,0.056043214044564485,0.8736842105263158,0.10532994923857868,0.9670691928139886,0.6804242409581256,55253,1398,12,83
