Model,MAE,MSE,RMSE,R2,Selected Alpha
Ridge Regression,57.96630505533889,27380.455530916497,165.47040681317156,0.5331798184806775,100.0
Linear Regression,57.978807874222404,27463.380023395217,165.72078935183484,0.5317660061141299,
