Antecedents,Consequent,Support,Confidence,Lift,Leverage,Conviction,Minimum Support,Enriched Sample Rows,Fraud Rows,Legitimate Rows
Amount_Low AND V12_Low AND V14_Low AND V16_Low AND V17_Low,Class_Fraud,0.06657848324514991,0.949685534591195,5.69811320754717,0.05489417989417989,16.562500000000004,0.03,2268,378,1890
Time_Night AND V10_Low AND V16_Low AND V3_Low,Class_Fraud,0.03306878306878307,0.9493670886075949,5.69620253164557,0.02726337448559671,16.458333333333318,0.03,2268,378,1890
Time_Night AND V10_Low AND V12_Low AND V16_Low AND V3_Low,Class_Fraud,0.03306878306878307,0.9493670886075949,5.69620253164557,0.02726337448559671,16.458333333333318,0.03,2268,378,1890
Amount_Medium AND V12_Low AND V14_Low AND V16_Low AND V3_Low,Class_Fraud,0.041005291005291,0.9489795918367347,5.6938775510204085,0.03380364491475602,16.33333333333335,0.03,2268,378,1890
Amount_Low AND V12_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.06746031746031746,0.9444444444444444,5.666666666666667,0.05555555555555555,14.999999999999995,0.03,2268,378,1890
Time_Morning AND V14_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.034832451499118164,0.9404761904761905,5.642857142857143,0.028659611992945325,13.999999999999998,0.03,2268,378,1890
Amount_Medium AND V12_Low AND V16_Low AND V17_Low,Class_Fraud,0.041005291005291,0.9393939393939394,5.636363636363637,0.03373015873015873,13.750000000000012,0.03,2268,378,1890
Time_Afternoon AND V12_Low AND V14_Low AND V16_Low AND V17_Low,Class_Fraud,0.033950617283950615,0.9390243902439024,5.634146341463414,0.02792475014697237,13.666666666666655,0.03,2268,378,1890
Time_Night AND V10_Low AND V17_Low,Class_Fraud,0.031746031746031744,0.935064935064935,5.6103896103896105,0.026087595532039976,12.83333333333333,0.03,2268,378,1890
Amount_Low AND V14_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.06657848324514991,0.9320987654320988,5.5925925925925934,0.054673721340388004,12.272727272727279,0.03,2268,378,1890
Time_Morning AND V12_Low AND V16_Low AND V17_Low,Class_Fraud,0.03571428571428571,0.9310344827586207,5.586206896551724,0.029320987654320986,12.083333333333329,0.03,2268,378,1890
Amount_Low AND V10_Low AND V16_Low AND V3_Low,Class_Fraud,0.07054673721340388,0.9302325581395349,5.5813953488372094,0.05790711346266902,11.944444444444443,0.03,2268,378,1890
Time_Morning AND V10_Low AND V12_Low AND V17_Low,Class_Fraud,0.03439153439153439,0.9285714285714286,5.571428571428572,0.02821869488536155,11.666666666666673,0.03,2268,378,1890
Amount_Medium AND V10_Low AND V12_Low AND V17_Low,Class_Fraud,0.03968253968253968,0.9278350515463918,5.567010309278351,0.032554379776602,11.547619047619053,0.03,2268,378,1890
Time_Afternoon AND V14_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.033950617283950615,0.927710843373494,5.566265060240964,0.027851263962375073,11.527777777777777,0.03,2268,378,1890
Amount_Low AND V10_Low AND V12_Low AND V17_Low,Class_Fraud,0.06701940035273368,0.926829268292683,5.560975609756098,0.05496766607877719,11.388888888888896,0.03,2268,378,1890
V10_Low AND V16_Low AND V17_Low,Class_Fraud,0.12610229276895943,0.9255663430420711,5.5533980582524265,0.10339506172839505,11.195652173913027,0.03,2268,378,1890
Time_Night AND V14_Low AND V3_Low,Class_Fraud,0.036155202821869487,0.9213483146067416,5.52808988764045,0.02961493239271017,10.5952380952381,0.03,2268,378,1890
V10_Low AND V17_Low AND V3_Low,Class_Fraud,0.12610229276895943,0.9196141479099678,5.517684887459807,0.10324808935920046,10.366666666666656,0.03,2268,378,1890
V12_Low AND V16_Low AND V17_Low,Class_Fraud,0.12874779541446207,0.9182389937106918,5.5094339622641515,0.10537918871252204,10.192307692307695,0.03,2268,378,1890
Time_Afternoon AND V10_Low AND V17_Low AND V3_Low,Class_Fraud,0.03439153439153439,0.9176470588235294,5.5058823529411764,0.028145208700764257,10.119047619047615,0.03,2268,378,1890
V14_Low AND V17_Low AND V3_Low,Class_Fraud,0.12742504409171077,0.9174603174603174,5.504761904761905,0.10427689594356263,10.096153846153841,0.03,2268,378,1890
Time_Afternoon AND V12_Low AND V14_Low AND V16_Low AND V3_Low,Class_Fraud,0.033950617283950615,0.9166666666666666,5.5,0.027777777777777776,9.999999999999996,0.03,2268,378,1890
Time_Night AND V12_Low AND V17_Low,Class_Fraud,0.03306878306878307,0.9146341463414634,5.487804878048781,0.02704291593180482,9.761904761904766,0.03,2268,378,1890
Time_Night AND V12_Low AND V14_Low,Class_Fraud,0.03659611992945326,0.9120879120879121,5.472527472527473,0.029908877131099354,9.479166666666664,0.03,2268,378,1890
Amount_Medium AND V12_Low AND V14_Low AND V17_Low,Class_Fraud,0.041005291005291,0.9117647058823529,5.470588235294118,0.03350970017636684,9.444444444444443,0.03,2268,378,1890
V10_Low AND V12_Low AND V17_Low,Class_Fraud,0.12654320987654322,0.9111111111111111,5.466666666666667,0.10339506172839508,9.374999999999998,0.03,2268,378,1890
Amount_Medium AND V12_Low AND V17_Low AND V3_Low,Class_Fraud,0.04056437389770723,0.9108910891089109,5.465346534653466,0.03314226925338036,9.351851851851855,0.03,2268,378,1890
Amount_Low AND V14_Low AND V17_Low AND V3_Low,Class_Fraud,0.06657848324514991,0.9096385542168675,5.457831325301205,0.054379776601998824,9.222222222222221,0.03,2268,378,1890
Amount_Low AND V10_Low AND V14_Low AND V16_Low,Class_Fraud,0.0701058201058201,0.9085714285714286,5.451428571428572,0.057245737801293356,9.114583333333336,0.03,2268,378,1890
Amount_Low AND V12_Low AND V14_Low AND V16_Low,Class_Fraud,0.0701058201058201,0.9085714285714286,5.451428571428572,0.057245737801293356,9.114583333333336,0.03,2268,378,1890
Time_Morning AND V14_Low AND V17_Low AND V3_Low,Class_Fraud,0.034832451499118164,0.9080459770114943,5.448275862068966,0.028439153439153438,9.0625,0.03,2268,378,1890
Time_Night AND V10_Low AND V12_Low AND V3_Low,Class_Fraud,0.03439153439153439,0.9069767441860465,5.441860465116279,0.02807172251616696,8.958333333333329,0.03,2268,378,1890
Amount_Low AND V12_Low AND V17_Low AND V3_Low,Class_Fraud,0.06790123456790123,0.9058823529411765,5.435294117647059,0.055408583186360966,8.854166666666668,0.03,2268,378,1890
V10_Low AND V12_Low AND V14_Low AND V3_Low,Class_Fraud,0.1384479717813051,0.9022988505747126,5.413793103448276,0.1128747795414462,8.529411764705879,0.03,2268,378,1890
Time_Morning AND V10_Low AND V12_Low AND V16_Low,Class_Fraud,0.03659611992945326,0.9021739130434783,5.41304347826087,0.029835390946502057,8.518518518518519,0.03,2268,378,1890
Amount_Medium AND V14_Low AND V17_Low AND V3_Low,Class_Fraud,0.04056437389770723,0.9019607843137255,5.411764705882353,0.03306878306878307,8.500000000000002,0.03,2268,378,1890
Time_Morning AND V14_Low AND V16_Low AND V3_Low,Class_Fraud,0.036155202821869487,0.9010989010989011,5.406593406593407,0.02946796002351558,8.425925925925927,0.03,2268,378,1890
Amount_Medium AND V10_Low AND V12_Low AND V14_Low AND V3_Low,Class_Fraud,0.03968253968253968,0.9,5.4,0.03233392122281011,8.333333333333336,0.03,2268,378,1890
V12_Low AND V17_Low AND V3_Low,Class_Fraud,0.12962962962962962,0.8990825688073394,5.394495412844036,0.10559964726631393,8.257575757575752,0.03,2268,378,1890
Amount_Low AND V10_Low AND V12_Low AND V14_Low AND V3_Low,Class_Fraud,0.07848324514991181,0.898989898989899,5.3939393939393945,0.06393298059964726,8.250000000000002,0.03,2268,378,1890
Time_Morning AND V12_Low AND V17_Low AND V3_Low,Class_Fraud,0.03527336860670194,0.898876404494382,5.393258426966292,0.02873309817754262,8.240740740740739,0.03,2268,378,1890
Amount_Low AND V10_Low AND V14_Low AND V17_Low,Class_Fraud,0.06613756613756613,0.8982035928143712,5.389221556886228,0.05386537330981775,8.18627450980392,0.03,2268,378,1890
Time_Afternoon AND V10_Low AND V12_Low AND V14_Low AND V3_Low,Class_Fraud,0.03835978835978836,0.8969072164948454,5.381443298969073,0.031231628453850677,8.083333333333336,0.03,2268,378,1890
Time_Afternoon AND V14_Low AND V17_Low AND V3_Low,Class_Fraud,0.03439153439153439,0.896551724137931,5.379310344827586,0.027998236331569663,8.055555555555557,0.03,2268,378,1890
Time_Night AND V10_Low AND V3_Low,Class_Fraud,0.03439153439153439,0.896551724137931,5.379310344827586,0.027998236331569663,8.055555555555557,0.03,2268,378,1890
Time_Night AND V12_Low AND V16_Low AND V3_Low,Class_Fraud,0.033950617283950615,0.8953488372093024,5.372093023255815,0.027630805408583186,7.962962962962966,0.03,2268,378,1890
Amount_Low AND V12_Low AND V16_Low AND V17_Low,Class_Fraud,0.06746031746031746,0.8947368421052632,5.36842105263158,0.05489417989417989,7.916666666666668,0.03,2268,378,1890
Time_Morning AND V10_Low AND V12_Low AND V14_Low AND V3_Low,Class_Fraud,0.03747795414462081,0.8947368421052632,5.36842105263158,0.03049676660787772,7.916666666666668,0.03,2268,378,1890
V10_Low AND V16_Low AND V3_Low,Class_Fraud,0.1300705467372134,0.893939393939394,5.363636363636364,0.10582010582010583,7.857142857142865,0.03,2268,378,1890
V12_Low AND V14_Low AND V17_Low,Class_Fraud,0.12786596119929453,0.8923076923076922,5.3538461538461535,0.10398295120517342,7.738095238095234,0.03,2268,378,1890
V14_Low AND V16_Low AND V17_Low,Class_Fraud,0.12698412698412698,0.8916408668730649,5.34984520123839,0.10324808935920046,7.690476190476181,0.03,2268,378,1890
Amount_Medium AND V10_Low AND V16_Low AND V17_Low,Class_Fraud,0.03968253968253968,0.8910891089108911,5.346534653465347,0.03226043503821281,7.651515151515153,0.03,2268,378,1890
Amount_Medium AND V10_Low AND V17_Low AND V3_Low,Class_Fraud,0.039241622574955906,0.89,5.340000000000001,0.03189300411522634,7.575757575757577,0.03,2268,378,1890
V10_Low AND V14_Low AND V17_Low,Class_Fraud,0.12610229276895943,0.8881987577639752,5.329192546583851,0.10243974132863021,7.453703703703705,0.03,2268,378,1890
Time_Afternoon AND V10_Low AND V14_Low AND V17_Low,Class_Fraud,0.03439153439153439,0.8863636363636364,5.318181818181818,0.02792475014697237,7.333333333333333,0.03,2268,378,1890
V14_Low AND V16_Low AND V3_Low,Class_Fraud,0.13051146384479717,0.8862275449101796,5.317365269461078,0.1059670781893004,7.324561403508771,0.03,2268,378,1890
Time_Afternoon AND V10_Low AND V16_Low AND V17_Low,Class_Fraud,0.033950617283950615,0.8850574712643678,5.310344827586207,0.02755731922398589,7.250000000000002,0.03,2268,378,1890
Time_Night AND V16_Low AND V3_Low,Class_Fraud,0.033950617283950615,0.8850574712643678,5.310344827586207,0.02755731922398589,7.250000000000002,0.03,2268,378,1890
V10_Low AND V14_Low AND V16_Low,Class_Fraud,0.13051146384479717,0.8835820895522387,5.3014925373134325,0.10589359200470311,7.158119658119653,0.03,2268,378,1890
Amount_Medium AND V10_Low AND V14_Low AND V17_Low,Class_Fraud,0.040123456790123455,0.883495145631068,5.300970873786408,0.032554379776602,7.152777777777781,0.03,2268,378,1890
Time_Afternoon AND V10_Low AND V12_Low AND V3_Low,Class_Fraud,0.03835978835978836,0.8787878787878788,5.272727272727273,0.031084656084656083,6.875,0.03,2268,378,1890
