Model,CV RMSE Mean,CV RMSE Standard Deviation,CV R2 Mean,CV R2 Standard Deviation,Selected Alpha
Linear Regression,178.66831923353465,18.11433860534221,0.49856946173213534,0.051514375031980704,
Ridge Regression,178.4252451667383,18.126327918423524,0.4999335373491759,0.05156553745914268,100.0
